zipcode,mail_city,Number of Crimes,House Price,Population,Gray_ratio,crime/pop
21770.0,MONROVIA,0,379600.0,5164.0,,0.0
20880.0,WASHINGTON GROVE,0,,450.0,,0.0
20705.0,BELTSVILLE,1,307600.0,26188.0,,3.81854284405071e-05
20777.0,HIGHLAND,1,624258.3333,3314.0,0.0,0.00030175015087507544
20896.0,GARRETT PARK,2,,906.0,,0.002207505518763797
21797.0,WOODBINE,2,494125.0,8839.0,0.104662918,0.00022626994003846588
20899.0,GAITHERSBURG,8,,142.0,2.96749576031656,0.056338028169014086
20993.0,SILVER SPRING,8,,,,
20812.0,GLEN ECHO,9,,255.0,0.124783237,0.03529411764705882
20707.0,LAUREL,9,265408.3333,31538.0,0.089795204,0.0002853700298053142
20894.0,BETHESDA,10,,,3.282453152,
20783.0,ADELPHI,10,288858.3333,,,
20839.0,BEALLSVILLE,11,,214.0,0.220426628,0.0514018691588785
20838.0,BARNESVILLE,12,,259.0,0.248479478,0.04633204633204633
20889.0,BETHESDA,13,,,,
21771.0,MT. AIRY,17,389100.0,29563.0,0.198586032,0.0005750431282346176
20862.0,BRINKLOW,19,,343.0,0.15680146,0.05539358600583091
20892.0,BETHESDA,20,,,8.472559698,
20868.0,SPENCERVILLE,28,,790.0,0.143402964,0.035443037974683546
20818.0,CABIN JOHN,34,838500.0,1962.0,0.046722383,0.017329255861365953
20842.0,DICKERSON,42,402375.0,1824.0,0.338687521,0.023026315789473683
20861.0,ASHTON,57,554866.6667,1875.0,0.051252933,0.0304
20860.0,SANDY SPRING,98,580891.6667,2396.0,0.261699996,0.040901502504173626
20837.0,POOLESVILLE,128,401508.3333,5789.0,0.392959662,0.02211089998272586
20833.0,BROOKEVILLE,162,543941.6667,7735.0,0.200868396,0.020943762120232707
20882.0,GAITHERSBURG,295,514466.6667,14063.0,0.216304832,0.02097703192775368
20841.0,BOYDS,322,594941.6667,10460.0,0.264256642,0.03078393881453155
20816.0,BETHESDA,345,899833.3333,16208.0,0.209569896,0.0212857847976308
20872.0,DAMASCUS,407,361775.0,13104.0,0.291891958,0.03105921855921856
20871.0,CLARKSBURG,565,428450.0,13130.0,0.467366392,0.043031226199543034
20905.0,SILVER SPRING,593,465150.0,18044.0,0.12132707,0.03286410995344713
20855.0,DERWOOD,662,464708.3333,14295.0,0.338710972,0.046309898565932144
20866.0,BURTONSVILLE,727,299866.6667,13344.0,0.464165506,0.05448141486810552
20851.0,ROCKVILLE,799,356208.3333,14191.0,0.413751866,0.056303290818124165
20895.0,KENSINGTON,867,600091.6667,19054.0,0.413474634403364,0.04550225674399076
20832.0,OLNEY,900,465375.0,24965.0,0.332064083,0.036050470658922494
20815.0,CHEVY CHASE,979,867991.6667,29082.0,0.213124115,0.033663434426793204
20854.0,POTOMAC,1010,878858.3333,49611.0,0.119089541,0.020358388260667996
20853.0,ROCKVILLE,1032,429875.0,29673.0,0.240973848,0.03477909210393287
20903.0,SILVER SPRING,1176,353391.6667,23625.0,0.825694362,0.049777777777777775
20879.0,GAITHERSBURG,1424,294875.0,24360.0,0.761161876164027,0.05845648604269294
20817.0,BETHESDA,1461,860516.6667,36240.0,0.261433917,0.040314569536423844
20912.0,TAKOMA PARK,1777,489900.0,24807.0,0.579936934,0.07163300681259321
20876.0,GERMANTOWN,1844,335591.6667,25496.0,0.614654251,0.07232507059930969
20886.0,MONTGOMERY VILLAGE,1874,257633.3333,33282.0,0.372454796,0.05630671233699898
20814.0,BETHESDA,1984,711750.0,27642.0,0.560699725,0.07177483539541278
20901.0,SILVER SPRING,2128,420575.0,34832.0,0.345664067,0.06109324758842444
20852.0,ROCKVILLE,2533,421450.0,40365.0,1.009692535,0.06275238449151492
20878.0,GAITHERSBURG,2665,523708.3333,62446.0,0.392642174,0.04267687281811485
20877.0,GAITHERSBURG,3312,334466.6667,34321.0,1.542286802,0.09650068471198392
20850.0,ROCKVILLE,3402,551091.6667,46340.0,1.366221582,0.07341389728096677
20904.0,SILVER SPRING,3440,396708.3333,54612.0,0.693492033,0.06298981908738006
20874.0,GERMANTOWN,3443,284166.6667,57367.0,0.385607295,0.060017082991964024
20906.0,SILVER SPRING,3471,320966.6667,64696.0,0.738494205,0.05365092123160628
20902.0,SILVER SPRING,4183,380400.0,48841.0,0.614905953,0.08564525705861878
20910.0,SILVER SPRING,4490,536116.6667,37445.0,1.104927024,0.11990920016023501
